timeframe_minutes,session_start_date,c1_start_new_york,c2_start_new_york,confirmation_new_york,direction,c1_high,c1_low,midpoint,c2_high,c2_low,c2_close,target,target_hit_new_york,target_hit_same_session,session_end_new_york,historical_right_edge_new_york
30,2026-08-12,2026-08-12 18:00:00-04:00,2026-08-12 18:30:00-04:00,2026-08-12 19:00:00-04:00,bullish,29832.75,29784.0,29808.375,29804.0,29780.5,29797.25,29832.75,2026-08-12 20:01:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-12 19:00:00-04:00,2026-08-12 19:30:00-04:00,2026-08-12 20:00:00-04:00,bullish,29817.25,29796.25,29806.75,29816.25,29792.5,29805.25,29817.25,2026-08-12 20:00:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-12 21:30:00-04:00,2026-08-12 22:00:00-04:00,2026-08-12 22:30:00-04:00,bearish,29865.75,29813.75,29839.75,29872.0,29853.75,29861.75,29813.75,2026-08-13 08:19:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-12 22:30:00-04:00,2026-08-12 23:00:00-04:00,2026-08-12 23:30:00-04:00,bearish,29877.75,29831.0,29854.375,29879.5,29865.5,29874.0,29831.0,2026-08-13 04:03:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-12 23:00:00-04:00,2026-08-12 23:30:00-04:00,2026-08-13 00:00:00-04:00,bearish,29879.5,29865.5,29872.5,29881.0,29865.5,29878.25,29865.5,2026-08-13 00:20:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-13 00:00:00-04:00,2026-08-13 00:30:00-04:00,2026-08-13 01:00:00-04:00,bearish,29892.25,29854.0,29873.125,29895.75,29873.0,29878.5,29854.0,2026-08-13 03:04:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-13 01:00:00-04:00,2026-08-13 01:30:00-04:00,2026-08-13 02:00:00-04:00,bearish,29922.5,29874.0,29898.25,29924.25,29882.5,29883.75,29874.0,2026-08-13 02:01:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-13 01:30:00-04:00,2026-08-13 02:00:00-04:00,2026-08-13 02:30:00-04:00,bullish,29924.25,29882.5,29903.375,29905.75,29868.5,29897.5,29924.25,2026-08-13 09:34:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-13 02:00:00-04:00,2026-08-13 02:30:00-04:00,2026-08-13 03:00:00-04:00,bullish,29905.75,29868.5,29887.125,29905.5,29858.5,29888.25,29905.75,2026-08-13 09:04:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-13 02:30:00-04:00,2026-08-13 03:00:00-04:00,2026-08-13 03:30:00-04:00,bullish,29905.5,29858.5,29882.0,29893.5,29843.75,29871.0,29905.5,2026-08-13 09:04:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-13 03:30:00-04:00,2026-08-13 04:00:00-04:00,2026-08-13 04:30:00-04:00,bullish,29882.0,29858.0,29870.0,29872.0,29827.5,29858.5,29882.0,2026-08-13 06:22:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-13 04:00:00-04:00,2026-08-13 04:30:00-04:00,2026-08-13 05:00:00-04:00,bearish,29872.0,29827.5,29849.75,29875.25,29846.0,29861.5,29827.5,2026-08-13 05:15:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-13 05:30:00-04:00,2026-08-13 06:00:00-04:00,2026-08-13 06:30:00-04:00,bearish,29879.75,29836.25,29858.0,29884.5,29863.0,29872.5,29836.25,2026-08-13 08:10:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-13 06:00:00-04:00,2026-08-13 06:30:00-04:00,2026-08-13 07:00:00-04:00,bearish,29884.5,29863.0,29873.75,29886.25,29868.25,29880.5,29863.0,2026-08-13 07:18:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-13 07:00:00-04:00,2026-08-13 07:30:00-04:00,2026-08-13 08:00:00-04:00,bearish,29892.25,29855.25,29873.75,29895.0,29856.75,29869.0,29855.25,2026-08-13 08:01:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-13 10:00:00-04:00,2026-08-13 10:30:00-04:00,2026-08-13 11:00:00-04:00,bearish,30237.75,30155.75,30196.75,30267.0,30197.75,30199.5,30155.75,2026-08-13 11:34:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-13 14:30:00-04:00,2026-08-13 15:00:00-04:00,2026-08-13 15:30:00-04:00,bearish,30246.0,30191.5,30218.75,30273.25,30214.75,30222.75,30191.5,2026-08-13 15:50:00-04:00,True,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-12,2026-08-13 15:30:00-04:00,2026-08-13 16:00:00-04:00,2026-08-13 16:30:00-04:00,bullish,30227.75,30173.5,30200.625,30219.5,30141.0,30198.5,30227.75,,False,2026-08-13 17:00:00-04:00,2026-08-13 17:00:00-04:00
30,2026-08-13,2026-08-13 19:00:00-04:00,2026-08-13 19:30:00-04:00,2026-08-13 20:00:00-04:00,bullish,30227.25,30192.25,30209.75,30205.25,30188.75,30203.25,30227.25,2026-08-13 20:02:00-04:00,True,2026-08-14 17:00:00-04:00,2026-08-14 17:00:00-04:00
30,2026-08-13,2026-08-13 21:30:00-04:00,2026-08-13 22:00:00-04:00,2026-08-13 22:30:00-04:00,bearish,30168.5,30140.5,30154.5,30173.25,30149.0,30168.0,30140.5,2026-08-14 00:35:00-04:00,True,2026-08-14 17:00:00-04:00,2026-08-14 17:00:00-04:00
30,2026-08-13,2026-08-13 22:00:00-04:00,2026-08-13 22:30:00-04:00,2026-08-13 23:00:00-04:00,bearish,30173.25,30149.0,30161.125,30181.0,30149.0,30154.25,30149.0,2026-08-14 00:01:00-04:00,True,2026-08-14 17:00:00-04:00,2026-08-14 17:00:00-04:00
30,2026-08-13,2026-08-13 23:00:00-04:00,2026-08-13 23:30:00-04:00,2026-08-14 00:00:00-04:00,bearish,30180.75,30150.75,30165.75,30188.25,30151.75,30152.25,30150.75,2026-08-14 00:00:00-04:00,True,2026-08-14 17:00:00-04:00,2026-08-14 17:00:00-04:00
30,2026-08-13,2026-08-13 23:30:00-04:00,2026-08-14 00:00:00-04:00,2026-08-14 00:30:00-04:00,bullish,30188.25,30151.75,30170.0,30165.5,30144.25,30157.75,30188.25,2026-08-14 03:03:00-04:00,True,2026-08-14 17:00:00-04:00,2026-08-14 17:00:00-04:00
30,2026-08-13,2026-08-14 00:00:00-04:00,2026-08-14 00:30:00-04:00,2026-08-14 01:00:00-04:00,bullish,30165.5,30144.25,30154.875,30164.0,30136.5,30147.25,30165.5,2026-08-14 01:44:00-04:00,True,2026-08-14 17:00:00-04:00,2026-08-14 17:00:00-04:00
30,2026-08-13,2026-08-14 00:30:00-04:00,2026-08-14 01:00:00-04:00,2026-08-14 01:30:00-04:00,bullish,30164.0,30136.5,30150.25,30153.75,30128.0,30149.75,30164.0,2026-08-14 01:35:00-04:00,True,2026-08-14 17:00:00-04:00,2026-08-14 17:00:00-04:00
30,2026-08-13,2026-08-14 02:30:00-04:00,2026-08-14 03:00:00-04:00,2026-08-14 03:30:00-04:00,bearish,30177.5,30149.25,30163.375,30194.5,30171.0,30176.75,30149.25,2026-08-14 10:24:00-04:00,True,2026-08-14 17:00:00-04:00,2026-08-14 17:00:00-04:00
30,2026-08-13,2026-08-14 04:00:00-04:00,2026-08-14 04:30:00-04:00,2026-08-14 05:00:00-04:00,bearish,30235.0,30187.0,30211.0,30244.5,30220.5,30221.75,30187.0,2026-08-14 09:36:00-04:00,True,2026-08-14 17:00:00-04:00,2026-08-14 17:00:00-04:00
30,2026-08-13,2026-08-14 04:30:00-04:00,2026-08-14 05:00:00-04:00,2026-08-14 05:30:00-04:00,bullish,30244.5,30220.5,30232.5,30232.75,30210.25,30226.5,30244.5,2026-08-14 06:04:00-04:00,True,2026-08-14 17:00:00-04:00,2026-08-14 17:00:00-04:00
30,2026-08-13,2026-08-14 05:30:00-04:00,2026-08-14 06:00:00-04:00,2026-08-14 06:30:00-04:00,bearish,30236.5,30206.0,30221.25,30250.0,30222.5,30229.0,30206.0,2026-08-14 09:34:00-04:00,True,2026-08-14 17:00:00-04:00,2026-08-14 17:00:00-04:00
30,2026-08-13,2026-08-14 06:30:00-04:00,2026-08-14 07:00:00-04:00,2026-08-14 07:30:00-04:00,bearish,30252.5,30223.5,30238.0,30262.25,30241.75,30247.5,30223.5,2026-08-14 08:13:00-04:00,True,2026-08-14 17:00:00-04:00,2026-08-14 17:00:00-04:00
